"22.10000","1.84312","0.92532"
"22.20000","1.85104","0.92761"
"22.30000","1.85979","0.93064"
"22.40000","1.86833","0.93384"
"22.50000","1.87667","0.93682"
"22.60000","1.88458","0.93971"
"22.70000","1.89271","0.94203"
"22.80000","1.90146","0.94476"
"22.90000","1.91000","0.94793"
"23.00000","1.91812","0.95081"
"23.10000","1.92625","0.95303"
"23.20000","1.93437","0.95425"
"23.30000","1.94292","0.95853"
"23.40000","1.95187","0.96114"
"23.50000","1.96000","0.96428"
"23.60000","1.96812","0.96655"
"23.70000","1.97625","0.96929"
"23.80000","1.98458","0.97101"
"23.90000","1.99312","0.97417"
"24.00000","2.00125","0.97693"
"24.10000","2.00937","0.97895"
"24.20000","2.01771","0.98102"
"24.30000","2.02646","0.98545"
"24.40000","2.03521","0.98800"
"24.50000","2.04333","0.99173"
"24.60000","2.05125","0.99361"
"24.70000","2.05937","0.99489"
"24.80000","2.06833","0.99877"
"24.90000","2.07687","1.00233"
"25.00000","2.08500","1.00396"
"25.10000","2.09271","1.00655"
"25.20000","2.10104","1.00885"
"25.30000","2.10979","1.01210"
"25.40000","2.11833","1.01487"
"25.50000","2.12646","1.01784"
"25.60000","2.13437","1.01963"
"25.70000","2.14271","1.02186"
"25.80000","2.15146","1.02532"
"25.90000","2.16021","1.02829"
"26.00000","2.16833","1.03032"
"26.10000","2.17625","1.03275"
"26.20000","2.18437","1.03472"
"26.30000","2.19292","1.03821"
"26.40000","2.20146","1.04051"
"26.50000","2.20958","1.04306"
"26.60000","2.21771","1.04489"
"26.70000","2.22604","1.04798"
"26.80000","2.23500","1.05122"
"26.90000","2.24354","1.05412"
"27.00000","2.25146","1.05575"
"27.10000","2.25937","1.05838"
"27.20000","2.26792","1.06091"
"27.30000","2.27667","1.06448"
"27.40000","2.28500","1.06625"
"27.50000","2.29292","1.06923"
"27.60000","2.30104","1.07045"
"27.70000","2.30937","1.07409"
"27.80000","2.31833","1.07592"
"27.90000","2.32667","1.07925"
"28.00000","2.33479","1.08079"
"28.10000","2.34292","1.08358"
"28.20000","2.35125","1.08638"
"28.30000","2.36000","1.08860"
"28.40000","2.36833","1.09143"
"28.50000","2.37646","1.09342"
"28.60000","2.38458","1.09556"
"28.70000","2.39292","1.09880"
"28.80000","2.40146","1.10137"
"28.90000","2.40979","1.10358"
"29.00000","2.41792","1.10703"
"29.10000","2.42604","1.10845"
"29.20000","2.43437","1.11144"
"29.30000","2.44312","1.11395"
"29.40000","2.45167","1.11759"
"29.50000","2.45979","1.11869"
"29.60000","2.46792","1.12132"
"29.70000","2.47625","1.12343"
"29.80000","2.48500","1.12524"
"29.90000","2.49333","1.12766"
"30.00000","2.50146","1.12924"
"30.10000","2.50958","1.13225"
"30.20000","2.51792","1.13402"
"30.30000","2.52646","1.13743"
"30.40000","2.53479","1.13893"
"30.50000","2.54292","1.14106"
"30.60000","2.55125","1.14431"
"30.70000","2.55958","1.14606"
"30.80000","2.56792","1.14934"
"30.90000","2.57667","1.15153"
"31.00000","2.58500","1.15407"
"31.10000","2.59312","1.15674"
"31.20000","2.60125","1.15879"
"31.30000","2.60958","1.16059"
"31.40000","2.61792","1.16245"
"31.50000","2.62625","1.16513"
"31.60000","2.63458","1.16702"
"31.70000","2.64292","1.16945"
"31.80000","2.65125","1.17099"
"31.90000","2.65979","1.17341"
"32.00000","2.66812","1.17680"
"32.10000","2.67646","1.17890"
"32.20000","2.68458","1.18061"
"32.30000","2.69312","1.18209"
"32.40000","2.70187","1.18519"
"32.50000","2.71000","1.18745"
"32.60000","2.71812","1.19032"
"32.70000","2.72604","1.19147"
"32.80000","2.73458","1.19364"
"32.90000","2.74312","1.19686"
"33.00000","2.75146","1.19896"
"33.10000","2.75958","1.20146"
"33.20000","2.76771","1.20270"
"33.30000","2.77625","1.20635"
"33.40000","2.78500","1.20797"
"33.50000","2.79354","1.21104"
"33.60000","2.80146","1.21219"
"33.70000","2.80937","1.21426"
"33.80000","2.81792","1.21690"
"33.90000","2.82646","1.21890"
"34.00000","2.83479","1.22138"
"34.10000","2.84271","1.22312"
"34.20000","2.85104","1.22575"
"34.30000","2.85979","1.22832"
"34.40000","2.86833","1.23186"
"34.50000","2.87667","1.23354"
"34.60000","2.88437","1.23531"
"34.70000","2.89271","1.23746"
"34.80000","2.90167","1.23955"
"34.90000","2.91021","1.24236"
"35.00000","2.91833","1.24383"
"35.10000","2.92604","1.24557"
"35.20000","2.93417","1.24800"
"35.30000","2.94312","1.25113"
"35.40000","2.95167","1.25319"
"35.50000","2.95979","1.25534"
"35.60000","2.96750","1.25690"
"35.70000","2.97604","1.25937"
"35.80000","2.98500","1.26290"
"35.90000","2.99354","1.26452"
"36.00000","3.00167","1.26634"
"36.10000","3.00958","1.26759"
"36.20000","3.01792","1.27051"
"36.30000","3.02646","1.27242"
"36.40000","3.03500","1.27519"
"36.50000","3.04292","1.27714"
"36.60000","3.05104","1.27805"
"36.70000","3.05937","1.28078"
"36.80000","3.06833","1.28358"
"36.90000","3.07687","1.28559"
"37.00000","3.08479","1.28742"
"37.10000","3.09271","1.28984"
"37.20000","3.10125","1.29160"
"37.30000","3.11000","1.29371"
"37.40000","3.11833","1.29776"
"37.50000","3.12646","1.29775"
"37.60000","3.13458","1.30025"
"37.70000","3.14292","1.30258"
"37.80000","3.15167","1.30460"
"37.90000","3.16000","1.30573"
"38.00000","3.16792","1.30773"
"38.10000","3.17604","1.30967"
"38.20000","3.18458","1.31308"
"38.30000","3.19312","1.31422"
"38.40000","3.20167","1.31733"
"38.50000","3.21000","1.31837"
"38.60000","3.21812","1.32028"
"38.70000","3.22646","1.32182"
"38.80000","3.23479","1.32508"
"38.90000","3.24292","1.32645"
"39.00000","3.25125","1.32789"
"39.10000","3.25937","1.33064"
"39.20000","3.26792","1.33280"
"39.30000","3.27646","1.33502"
"39.40000","3.28500","1.33636"
"39.50000","3.29312","1.33875"
"39.60000","3.30125","1.34097"
"39.70000","3.30958","1.34297"
"39.80000","3.31833","1.34604"
"39.90000","3.32667","1.34750"
"40.00000","3.33479","1.34939"
"40.10000","3.34312","1.34982"
"40.20000","3.35125","1.35306"
"40.30000","3.35958","1.35489"
"40.40000","3.36812","1.35768"
"40.50000","3.37646","1.36009"
"40.60000","3.38458","1.36254"
"40.70000","3.39292","1.36506"
"40.80000","3.40146","1.36622"
"40.90000","3.41000","1.36740"
"41.00000","3.41833","1.36966"
"41.10000","3.42646","1.37328"
"41.20000","3.43458","1.37480"
"41.30000","3.44292","1.37723"
"41.40000","3.45125","1.37905"
"41.50000","3.45958","1.37934"
"41.60000","3.46771","1.38143"
"41.70000","3.47625","1.38374"
"41.80000","3.48458","1.38755"
"41.90000","3.49312","1.38816"
"42.00000","3.50146","1.39096"
"42.10000","3.50979","1.39323"
"42.20000","3.51792","1.39413"
"42.30000","3.52646","1.39720"
"42.40000","3.53500","1.39782"
"42.50000","3.54312","1.40006"
"42.60000","3.55125","1.40235"
"42.70000","3.55937","1.40360"
"42.80000","3.56792","1.40578"
